frontend_score,backend_score,data_score,cloud_score,systems_score
87.45071229516849,88.89266321297463,50.99033154879003,51.675416142499564,13.248217250256184
77.92603548243223,100.0,43.869505243691535,31.732214255071998,18.554813292844823
89.71532807151038,54.02148639271288,30.89445554880261,27.727016748665392,12.075800790000386
100.0,83.44453855035856,20.29594833441639,39.94938313883572,16.920384703609596
76.48769937914996,65.24036146317259,40.47334970420385,37.447230662126074,1.0638533304621447
76.4879456457623,67.69311924352957,35.90228078132624,33.201579260090874,22.132937073729387
100.0,66.11409113641696,43.42789830041598,50.44581171185073,20.01205475362224
91.51152093729362,62.04013845480276,39.52757702522954,54.32957812855766,11.829113689318094
72.95788421097572,75.7278244191724,45.743290729790026,41.32610329437771,26.59245668432405
88.13840065378947,62.535748253834434,21.971471826591483,62.162951215828926,29.37570137626558
73.04873460781306,79.05685238669759,49.76091098451489,22.874663287997425,3.924401356310259
73.01405369644614,74.24642835826295,32.96399407038599,37.095108110804226,12.372752214337858
83.62943407349051,71.41577929700385,61.12891308937898,29.247665190957925,12.308576502127018
51.30079633013303,61.386545069376034,19.662182728656482,12.0019507439041,10.600968988911353
54.12623251230451,66.34843004147501,56.03945704747874,38.75978971235951,28.294748419317486
71.5656870613854,86.33086838738635,32.96866175193972,38.17378737425075,18.061738612271967
64.80753319498365,82.5137578143657,20.228729945783275,62.70174614863197,17.354851586893894
84.71370998892911,60.33667132802174,22.741712489185176,49.462175268321666,0.0
66.37963886718184,76.48998458143839,25.194790377085198,24.637197635061924,26.354180302092264
58.81544447997062,86.27080685057683,36.36248919602875,67.81138849501282,7.607416051465275
100.0,49.95892078317942,37.84253232053249,58.31550543288029,20.599326302663282
76.61335549270197,83.15040288569902,21.394499940921314,48.731465552029235,22.773769379581918
81.01292307031886,65.0606436158123,29.634681116085257,36.60273851725252,33.60658595838651
58.62877720679815,83.5589800288974,62.13405537917795,25.608411449147802,6.91179600880888
71.83425913212226,63.55111265186225,55.91314755151067,34.416898358934205,0.0
81.66383884564799,47.92676849003222,36.54485504511048,56.33122929556279,21.83849544753695
62.73509633866546,50.58686343175256,30.570052172523006,68.26879458901914,38.005111815108535
85.63547027518509,75.72127419992073,31.80046990077392,63.14865292408284,32.38946352939438
70.99041965121792,78.89583752582223,39.20276959095625,32.667258673205886,22.096594152746256
75.62459375310085,61.43525062343387,14.658111522023917,23.205738500664832,15.083638143679526
