doomscrolling,deep_work,social_battery,escapism
8.74507122951685,1.8617356988288154,8.97153280715104,4.523029856408026
7.648769937914996,1.7658630430508195,10.0,3.767434729152909
7.295788421097572,2.5425600435859645,7.304873460781307,2.534270246429743
8.362943407349052,0.08671975534220211,5.412623251230451,2.437712470759027
6.480753319498364,2.314247332595274,6.637963886718183,1.5876962986647085
10.0,1.7742236995134644,8.101292307031885,1.5752518137865432
7.183425913212226,2.1109225897098662,6.273509633866546,3.375698018345672
7.099041965121793,1.7083062502067232,7.097440081655905,4.852278184508938
7.979754162893099,0.9422890710440996,9.233817368154783,1.7791563500289778
8.313295392507133,0.04032987612022443,6.007720926652354,3.1968612358691235
9.107699869993116,2.1713682811899706,7.826527576417639,2.6988963044107113
5.782217014448859,1.2801557916052912,7.309041843560319,4.057122226218915
8.515427434352691,0.23695984463726605,8.486125954092193,2.6149177195836835
6.984616999541062,2.6116762888408678,9.546499283743927,3.931280119116199
6.741173715166042,1.6907876241487854,8.496895147105345,3.975545127122359
7.281238643232065,1.814341023336183,6.340497538990958,1.8037933759193292
9.218788733591296,3.3562400285708227,7.891984817629499,4.003532897892024
8.542454037571451,1.3548802453948756,8.542093408262621,4.538036566465969
7.946260941335073,3.564643655814006,4.070382343865384,3.821902504375224
8.130570602357256,1.7009926495341325,8.137641164803254,1.0124310853991072
7.670492168243732,2.3571125715117462,10.0,2.4817297817263526
6.787259595660219,1.4982429564154636,9.373103176553112,3.3287511096596845
7.205359694349442,2.513267433113356,8.145616324022061,3.9686449905328893
6.946920359183972,1.6723378534022317,7.411837770301764,1.5364850518678814
8.444180415596865,2.261055272179889,8.007670184963692,2.765412866624853
5.876943886924378,1.579354677234641,7.485928225209846,2.197722730778381
7.758071432500986,2.4040508568145382,10.0,3.174577812831839
8.386325586084146,1.9255540842338328,5.121843177051438,2.9734861245507833
8.09034531491154,4.463242112485286,7.711458552828316,3.3015473423336124
7.947932345442135,0.831321962380468,9.71423422177253,3.7519330326867744
9.186547920564571,1.090612545205261,10.0,1.5981489372077191
8.880285640700405,4.190455625809978,6.514195512303967,2.433702270397228
8.149477047631462,1.4965243458838007,5.674004853400801,3.0685629748060275
6.406544429410843,2.4735924306351817,6.620863648649295,4.54993440501754
6.825120061495644,1.6779384837943243,9.220275826054504,1.7691356835660448
8.341189901906194,3.3071427542824283,5.588775148158159,3.184633858532304
8.389824191372636,2.7818228717773104,6.144573933682877,1.6795433869157237
8.782912348425347,2.2969846732331862,8.375739275518814,3.346448209496976
6.979962917632264,2.2322536971610036,8.439608709948022,2.285648581973632
10.0,2.4738329209117875,6.2130447541960265,3.6565536086338297
6.5379774946590175,2.787084603742452,9.737893368511106,2.1793176816482895
9.445064193866482,2.4127809269364984,9.233090239991736,4.896792982653947
7.631917825995695,1.2462638356425104,6.665728355561715,2.1841897150345617
7.884347435878844,2.341151974816644,8.415036198995029,3.8271832490360236
